16;0.01;75910.390000;63.850000
16;0.02;108018.480000;59.440000
16;0.05;142815.020000;37.840000
16;0.1;154010.920000;23.740000
16;0.2;147709.170000;14.330000
16;0.5;118629.330000;7.090000
32;0.01;75772.170000;63.986
32;0.02;107987.330000;61.761
32;0.05;142400.370000;42.427
32;0.1;153586.980000;25.248
32;0.2;147413.090000;14.841
32;0.5;118238.210000;6.947
64;0.01;76110.770000;63.997
64;0.02;108110.040000;63.042
64;0.05;141457.210000;51.04
64;0.1;152633.690000;31.589
64;0.2;147621.960000;17.865
64;0.5;119847.520000;7.783
128;0.01;75419.000000;64
128;0.02;105078.550000;63.038
128;0.05;141004.530000;58.803
128;0.1;151116.270000;39.94
128;0.2;150217.440000;22.353
128;0.5;126097.590000;9.186
256;0.01;85451.490000;64
256;0.02;104197.780000;63.003
256;0.05;142954.940000;62.486
256;0.1;151610.260000;49.438
256;0.2;152811.240000;28.562
256;0.5;139034.510000;11.253